habitability_score
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
4.78568044823555e-06
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0225571313956973
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
2.013513946795425e-07
0.05
0.05
0.05
0.05
0.05
0.8204412985985751
0.0
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.8328744290808859
0.05
0.05
0.05
0.7381456286690024
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0435003931593162
0.05
0.05
0.05
0.05
0.05
0.05
1.190352624405812e-08
0.05
0.0
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.6560321378044742
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.0055668676478987
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.541414943214022
0.05
0.05
0.6253172981768396
0.05
0.0469368606147206
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
6.992914223536346e-05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0476190991193258
0.5863725792931612
0.05
0.05
0.05
0.05
0.05
0.5891357816877776
0.05
0.05
0.05
0.05
7.833757138902861e-06
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0186380602870819
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.5969040145085831
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.6453881691698675
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
1.7273802830373042e-10
0.0238733721398771
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.044636526595381
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0496553975605454
0.0278777023052372
0.05
0.05
0.0
0.0
0.05
0.0
0.0001467864407285
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0028065139106053
0.05
0.05
0.05
0.05
0.05
0.05
0.6527743029125112
0.5915647353017676
0.05
0.6427520229186516
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.6260492486830613
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0014295002479786
0.05
0.5663762112654881
4.94326900870896e-09
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.5781404491364631
0.05
0.05
0.05
0.0
0.05
0.05
0.05
4.474392794164373e-09
0.0
0.05
0.0
0.0
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
0.05
0.05
2.9842221273037185e-06
0.7195287026763466
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.0
0.05
