pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp,habitability_score
KOI-94 c,4.32,15.6,0.1013,0.43,0.479,1.28,2,4,0.91,6182.0,1.52,15488.365338410666,0.17222337341911076
KOI-94 d,11.27,106.0,0.1684,0.022,0.479,1.28,2,4,0.363,6182.0,1.52,12012.66215981294,0.22904070052632272
KOI-94 e,6.56,35.0,0.3046,0.019,0.479,1.28,2,4,0.6,6182.0,1.52,8931.93095730906,0.2368586355346238
KOI-984 b,4.3,17.1,0.0504,0.12,0.7756937995160011,0.93,1,2,1.18,5295.0,0.82,13813.92629853399,0.27973305932578424
KOI-984 c,14.1,209.8,0.1467,0.38,0.7756937995160011,0.93,1,2,0.411,5295.0,0.82,8096.8733447969635,0.21807799702325506
KPS-1 b,11.545,346.4347,0.0269,0.0,0.6650664244684812,0.89,1,1,1.31,5165.0,0.91,19430.07129597336,0.302756292394526
Kapteyn c,2.54,7.0,0.311,0.23,0.011615906556097982,0.28,1,1,2.35,3550.0,0.29,2217.2091882284244,0.25680985097495174
Kepler-10 b,1.47,3.26,0.01685,0.0,0.055,0.91,1,3,5.57,5708.0,1.06,29281.711448761234,0.5116437443985822
Kepler-10 c,2.355,11.4,0.241,0.13,0.055,0.91,1,3,4.78,5708.0,1.06,7742.618982175949,0.4955548931776328
Kepler-10 d,3.61,12.68,0.5379,0.26,0.053,0.91,1,3,1.48,5708.0,1.06,5182.575493693574,0.2656518649542718
Kepler-100 b,1.32,7.34,0.07309,0.13,0.411,1.08,1,4,14.25,5825.0,1.49,17010.598541450392,0.3541200220038627
Kepler-100 c,2.2,7.05,0.11061,0.02,0.411,1.08,1,4,1.721102,5825.0,1.49,13827.745569082226,0.3420667573433618
Kepler-100 d,1.61,3.0,0.21747,0.38,0.411,1.08,1,4,2.695922,5825.0,1.49,9861.63442109956,0.36459753613717794
Kepler-100 e,5.27,24.14272,0.312392,0.026437,0.4,1.1,1,4,0.906,5884.0,1.51,8367.017899910832,0.28814210260863515
Kepler-1000 b,4.76,20.3,0.5326,0.0,0.715,1.4,1,1,1.03,6453.0,1.51,7027.632941213279,0.2638465318118301
Kepler-1001 b,3.15,10.1,0.11147,0.0,0.6915901242788246,0.9,1,2,1.78,5491.0,0.88,9978.684495604402,0.3505093071138172
Kepler-1001 c,1.578,3.11,0.08296,0.0,0.7756937995160011,0.93,1,2,4.35,5376.0,0.84,11064.30256638594,0.507876081232601
Kepler-1002 b,1.71,3.57,0.0564,0.0,0.501,1.22,1,1,3.92,6144.0,1.57,20966.261268797527,0.4398588974592921
Kepler-1003 b,1.78,3.82,0.04333,0.0,0.282,1.11,1,1,3.72,6109.0,1.17,20531.85666096018,0.4377876806257384
Kepler-1004 b,6.28,32.5,0.06791,0.0,0.713,1.11,1,1,0.721,4972.0,3.39,22720.799852486405,0.2873896115440438
Kepler-1005 b,1.5,2.86,0.06717,0.0,0.136,1.0,1,1,4.66,5782.0,1.06,14856.033087212547,0.51429458195827
Kepler-1006 b,1.54,2.99,0.1464,0.0,0.4191129782637613,0.78,1,1,4.5,5328.0,0.74,7747.633170048983,0.5153362487326276
Kepler-1007 b,1.44,2.67,0.048,0.0,0.332376270499219,0.73,1,1,4.91,4587.0,0.7,11329.654172643222,0.5357651249997788
Kepler-1008 b,1.28,2.18,0.09755,0.0,0.47829690000000014,0.81,2,1,5.71,5066.0,0.78,9265.276025923979,0.5403080591420508
Kepler-1009 b,2.17,5.35,0.0796,0.0,0.15775460325515067,0.59,1,1,2.88,4027.0,0.57,6969.827597937072,0.3909611046796616
Kepler-101 b,5.77,51.1,0.0474,0.086,0.42,1.17,1,2,1.45,5667.0,1.56,21027.41340556149,0.2559922846291424
Kepler-101 c,1.25,3.78,0.0684,0.0,0.42,1.17,1,2,10.5,5667.0,1.56,17504.38968697656,0.43260581178456814
Kepler-1010 b,2.32,5.99,0.193,0.0,0.5898540685771015,0.86,1,1,2.64,5253.0,0.82,7003.17831763181,0.38695535879905235
Kepler-1011 b,2.87,8.6,0.0633,0.0,0.7188609179509692,0.91,1,1,2.0,5416.0,0.88,13061.036674176992,0.35314370004231965
Kepler-1012 b,1.29,2.21,0.06066,0.0,0.8356657801380584,0.95,1,1,5.66,5556.0,0.91,13918.461818453847,0.5581133824234599
Kepler-1013 b,2.15,5.27,0.137,0.0,0.47829690000000014,0.81,1,1,2.91,4954.0,0.76,7546.785858618037,0.40403194825209177
Kepler-1014 b,2.39,6.3,0.121,0.0,0.6392774017356785,0.88,1,1,2.54,5388.0,0.84,9181.93168228779,0.3807207497901139
Kepler-1015 b,3.55,12.3,0.1345,0.0,0.559,1.49,1,1,1.51,6769.0,1.81,16060.615003011328,0.27311701760113377
Kepler-1016 b,2.18,5.39,0.03044,0.0,0.124,0.99,1,2,2.86,5821.0,1.0,21579.172534849262,0.3929766718649863
Kepler-1016 c,3.68,13.1,0.43519,0.0,0.124,0.99,1,2,1.44,5821.0,1.0,5707.128587538684,0.5669752991616971
Kepler-1017 b,1.99,4.62,0.07196,0.0,0.7756937995160011,0.93,1,1,3.22,5473.0,0.87,12308.326532131034,0.4200954973871077
Kepler-1018 b,2.58,7.18,0.253,0.0,0.7188609179509692,0.91,1,1,2.3,5518.0,0.88,6656.137483655102,0.367203180408635
Kepler-1019 b,1.46,2.73,0.0221,0.0,0.28697438910118783,0.7,1,1,4.82,4433.0,0.67,15786.959978100607,0.5223916254664346
Kepler-102 b,0.46,1.1,0.05521,0.1,0.457946721791957,0.8,1,5,62.0,4909.0,0.72,11465.946708244292,0.4155572998257928
Kepler-102 c,0.567,1.7,0.06702,0.094,0.457946721791957,0.8,1,5,52.0,4909.0,0.72,10406.784962443171,0.42441946772445105
Kepler-102 d,1.154,3.0,0.08618,0.092,0.457946721791957,0.8,1,5,10.7,4909.0,0.72,9177.313077645316,0.44031147641613755
Kepler-102 e,2.17,4.7,0.1162,0.089,0.457946721791957,0.8,1,5,2.5,4909.0,0.72,7903.432135087346,0.36774901019516293
Kepler-102 f,0.861,4.3,0.1656,0.1,0.457946721791957,0.8,1,5,37.0,4909.0,0.72,6620.467017036212,0.4173946401847016
Kepler-1020 b,2.28,5.82,0.37594,0.0,0.6142107088596144,0.87,1,1,2.7,5227.0,0.8,4931.7123440824,0.3900813054230011
Kepler-1021 b,2.33,6.04,0.1034,0.0,0.6650664244684812,0.89,1,1,2.62,5431.0,0.86,10130.439125913128,0.3846859446483591
Kepler-1022 b,2.36,6.17,0.0805,0.0,0.30158116914673233,0.71,1,1,2.58,4445.0,0.68,8355.795329637478,0.3823334088646693
Kepler-1023 b,2.63,7.41,0.30284,0.0,0.7756937995160011,0.93,1,1,2.24,5494.0,0.89,6091.672570629002,0.36328061197320666
Kepler-1024 b,3.91,14.5,0.3033,0.0,0.47829690000000014,0.81,1,1,1.33,5143.0,0.78,5334.419094243381,0.3299649768790794
Kepler-1025 b,1.98,4.58,0.21607,0.0,0.287,1.09,1,1,3.24,6089.0,1.13,9006.32203966515,0.4067649703110358
Kepler-1026 b,2.21,5.52,0.1977,0.0,0.43822264873188616,0.79,1,1,2.81,4948.0,0.75,6233.278051703766,0.39780517975859825
Kepler-1027 b,0.89,0.64,0.02911,0.0,0.011,0.91,2,1,4.99,5436.0,0.82,18660.564769408844,0.5507786420776384
Kepler-1028 b,1.33,2.33,0.0354,0.0,0.6915901242788246,0.9,1,1,5.44,5522.0,0.87,17705.732956738186,0.5533434787339172
Kepler-1029 b,1.26,2.13,0.047,0.0,0.499284959284455,0.82,1,1,5.85,5030.0,0.77,13168.124707885825,0.566342180419574
Kepler-103 b,3.486,9.8,0.13223,0.093,0.424,1.21,1,2,1.28,6009.0,1.49,13046.374815641546,0.2744105469642573
Kepler-103 c,5.45,38.0,0.6639,0.095,0.424,1.21,1,2,1.29,6009.0,1.49,5822.419812604565,0.3688006430351889
Kepler-1030 b,2.48,6.71,0.1338,0.0,0.457946721791957,0.8,1,1,2.42,4983.0,0.76,7681.201158892805,0.3762484188600976
Kepler-1031 b,0.87,0.59,0.0218,0.0,0.17,1.09,1,1,4.92,6011.0,1.12,27866.793839747006,0.5480601330988191
Kepler-1032 b,1.87,4.16,0.0361,0.0,0.4006060816669288,0.77,1,1,3.5,4647.0,0.71,13329.312749521212,0.4421202669099259
Kepler-1033 b,2.51,6.85,0.0761,0.0,0.8052810653384567,0.94,1,1,2.38,5547.0,0.92,12474.38843757913,0.3689879469022273
Kepler-1034 b,2.26,5.73,0.0965,0.0,0.5209227484918181,0.83,1,1,2.73,5198.0,0.8,9680.039381491768,0.39272219811464687
Kepler-1035 b,1.17,1.71,0.03883,0.0,0.209,0.98,1,1,5.87,5763.0,0.97,18629.890557516494,0.5699483550262459
Kepler-1036 b,3.01,9.32,0.47726,0.0,0.8356657801380584,0.95,1,1,1.88,5533.0,0.89,4886.94743006068,0.3460536350730236
Kepler-1037 b,1.28,2.18,0.0198,0.0,0.499284959284455,0.82,1,1,5.71,5105.0,0.78,20723.82731573065,0.5523095321088451
Kepler-1038 b,3.53,12.2,0.5238,0.0,0.6142107088596144,0.87,1,2,1.52,5335.0,0.83,4343.604106819138,0.3427084193061878
Kepler-1038 c,1.416,2.59,0.0692,0.0,0.6142107088596144,0.87,1,2,5.01,5159.0,0.82,11486.26730958776,0.5473680384984795
Kepler-1039 b,1.46,2.73,0.01714,0.0,0.43822264873188616,0.79,1,1,4.82,4870.0,0.74,20696.59610430515,0.5152020513979441
Kepler-104 b,3.1,19.6,0.094,0.0,0.089,0.82,2,3,4.064848,5711.0,1.35,13998.27850322645,0.3680380479398324
Kepler-104 c,3.13,7.14431,0.153,0.0,0.089,0.82,2,3,2.994855,5711.0,1.35,10972.177916402394,0.36801978923312106
Kepler-104 d,3.58,5.54022,0.257,0.0,0.089,0.82,2,3,1.668541,5711.0,1.35,8465.877790683791,0.3520624078105864
Kepler-1040 b,2.08,4.98,0.67249,0.0,0.9317325438379406,0.98,1,1,3.04,5694.0,0.96,4400.172233272371,0.4053531002214969
Kepler-1041 b,2.94,8.96,0.1688,0.0,0.489,1.06,1,1,1.94,5957.0,1.08,9745.693950570865,0.33802754175525895
Kepler-1042 b,2.19,5.43,0.0756,0.0,0.36535446722156006,0.75,1,1,2.84,4815.0,0.72,9610.83572593034,0.39891310691529974
Kepler-1043 b,2.55,7.04,0.2159,0.0,0.746891291445067,0.92,1,1,2.33,5629.0,0.9,7433.3690381055185,0.36817450542725577
Kepler-1044 b,2.67,7.61,0.0741,0.0,0.031,1.08,1,1,2.2,5985.0,1.11,14982.215940444587,0.3469280978093535
Kepler-1045 b,2.69,7.7,0.1616,0.0,0.5898540685771015,0.86,1,1,2.17,5301.0,0.82,7723.31173159016,0.36356430368972176
Kepler-1046 b,1.71,3.57,0.11858,0.0,0.064,1.04,1,1,3.92,5913.0,1.04,11326.046434549162,0.4624125429280383
Kepler-1047 b,2.09,5.02,0.29871,0.0,0.424,1.08,1,2,3.02,5754.0,1.13,7238.418861009323,0.3988715062748388
Kepler-1047 c,0.99,0.937,0.04413,0.0,0.424,1.08,1,2,5.31,5754.0,1.13,18832.224715296405,0.5792721859482662
Kepler-1048 b,1.61,3.22,0.059,0.0,0.36535446722156006,0.75,1,1,4.24,4651.0,0.7,10361.648746106674,0.4978601144258266
Kepler-1049 b,0.95,0.809,0.0349,0.0,0.09473176224746377,0.51,1,1,5.18,3864.0,0.49,9364.443128121968,0.5700770185271172
Kepler-105 b,2.53,10.8,0.06016,0.02,0.082,0.99,1,2,3.68,6082.0,1.03,16276.859943075942,0.37953677436121414
Kepler-105 c,1.44,5.6,0.07229,0.02,0.082,0.99,1,2,10.4,6082.0,1.03,14848.597258742193,0.40775212690626295
Kepler-1050 b,1.6,3.19,0.12353,0.0,0.059,1.09,1,2,4.28,6010.0,1.13,11756.741930518057,0.48792300695502644
Kepler-1050 c,1.48,2.79,0.15264,0.0,0.059,1.09,1,2,4.73,6010.0,1.13,10576.428243350898,0.5160967183791225
Kepler-1051 b,3.4,11.5,0.18395,0.0,0.524,1.43,1,1,1.61,6675.0,1.73,13239.876610174071,0.281629372359879
Kepler-1052 b,2.93,8.91,0.20988,0.0,1.1089967833248526,1.03,1,2,1.95,5888.0,1.03,8436.46284327447,0.34764051912758076
Kepler-1052 c,2.3,5.9,0.6135,0.0,0.8052810653384567,0.94,1,2,2.66,5818.0,0.85,4429.303182220571,0.39122698479241746
Kepler-1053 b,0.98,0.904,0.0315,0.0,0.34858686540120815,0.74,1,1,5.28,4529.0,0.69,13709.79943259952,0.588841445264392
Kepler-1054 b,2.63,7.41,0.05542,0.0,0.369,1.22,1,1,2.24,6209.0,1.34,19746.962911179737,0.3310512331136719
Kepler-1055 b,1.23,2.04,0.0335,0.0,0.9317325438379406,0.98,1,1,6.02,5723.0,0.94,19607.615474282717,0.5582263960287576
Kepler-1056 b,3.01,9.32,0.1629,0.0,0.227,1.12,1,1,1.88,6127.0,1.2,10755.670109464088,0.32853504369632347
Kepler-1057 b,3.36,11.2,0.1138,0.0,1.2671943325624648,1.07,1,1,1.62,5987.0,1.1,12039.098892036229,0.32391390323179714
Kepler-1058 b,2.72,7.85,0.3679,0.0,0.332376270499219,0.73,1,1,2.14,4644.0,0.69,4113.498797560077,0.36240462575240656
Kepler-1059 b,1.73,3.64,0.044,0.0,0.36535446722156006,0.75,1,1,3.86,4906.0,0.72,12835.918945664609,0.4701382860007461
Kepler-106 c,2.5,10.44,0.10987,0.0,0.083,1.0,1,4,3.28,5858.0,1.04,11656.978270375637,0.3791806069301833
Kepler-106 e,2.56,11.17,0.24006,0.0,0.083,1.0,1,4,3.1,5858.0,1.04,7886.161165499004,0.37566554436923816
Kepler-1060 b,2.38,6.26,0.2495,0.0,0.072,0.99,1,1,2.55,5797.0,0.99,7468.702057722472,0.3812321856183876
Kepler-1061 b,1.98,4.58,0.0388,0.0,0.088,1.09,1,1,3.24,6067.0,1.07,20606.751464778896,0.4040896077968776
Kepler-1062 b,1.76,3.75,0.0748,0.0,0.36535446722156006,0.75,1,1,3.78,4597.0,0.7,9095.618513961861,0.46494759259938523
Kepler-1063 b,1.49,2.83,0.1176,0.0,0.166,1.09,2,1,4.7,5945.0,1.14,11971.818827294803,0.48206015835607524
Kepler-1064 b,1.55,3.02,0.1183,0.0,0.5661952739834993,0.85,1,1,4.46,5153.0,0.79,8612.729904971426,0.5124052058160932
Kepler-1065 b,3.73,13.4,0.0455,0.0,0.8052810653384567,0.94,1,2,1.42,5635.0,0.93,16477.419876333293,0.3327032369527926
Kepler-1065 c,1.6,3.19,0.0344,0.0,0.8052810653384567,0.94,1,2,4.28,5635.0,0.93,18950.282368144428,0.49911304702637305
Kepler-1066 b,2.36,6.17,0.0298,0.0,0.9317325438379406,0.98,1,1,2.58,5762.0,0.98,21371.631237416845,0.371323520819211
Kepler-1067 b,0.8,0.437,0.0164,0.0,0.8356657801380584,0.95,1,2,4.69,5592.0,0.93,27236.181847336484,0.5416798116097101
Kepler-1067 c,1.747,3.7,0.06069,0.0,0.9317325438379406,0.98,1,2,3.81,5594.0,0.93,14163.313875848178,0.4656236822995343
Kepler-1068 b,3.63,12.8,0.13038,0.0,1.0354396902316474,1.01,1,1,1.47,5806.0,1.01,10451.815679025682,0.3241495126325807
Kepler-1069 b,1.6,3.19,0.16587,0.0,0.372,0.99,1,1,4.28,5722.0,0.98,8995.731433732346,0.49235082108450456
Kepler-107 b,1.536,3.8,0.04544,0.1,0.364,1.24,1,4,5.8,5854.0,1.45,21388.33954616567,0.4418579570338854
Kepler-107 c,1.597,10.0,0.06064,0.08,0.364,1.24,1,4,13.5,5854.0,1.45,18514.698109456127,0.30602697826630365
Kepler-107 d,0.86,7.7,0.08377,0.11,0.364,1.24,1,4,67.0,5854.0,1.45,15752.590148592739,0.352945153792421
Kepler-107 e,2.903,14.1,0.12638,0.1,0.364,1.24,1,4,3.18,5854.0,1.45,12824.990611883622,0.2998893271496753
Kepler-1070 b,1.73,3.64,0.06753,0.0,0.285,1.21,1,1,3.86,6261.0,1.32,17903.65937831137,0.4371861466507783
Kepler-1071 b,2.38,6.26,0.0629,0.0,0.5898540685771015,0.86,1,1,2.55,5215.0,0.81,12104.058434404827,0.3816376716974697
Kepler-1072 b,1.58,3.12,0.02742,0.0,0.365,1.2,1,1,4.35,6199.0,1.32,27818.543568844612,0.465211291368575
Kepler-1073 b,2.3,5.9,0.0805,0.0,1.0,1.0,1,3,2.66,5792.0,1.0,13203.53208634683,0.3851035635637562
Kepler-1073 c,1.64,3.33,0.0483,0.0,1.0,1.0,1,3,4.15,5792.0,1.0,17045.686627178846,0.4870130657117322
Kepler-1073 d,1.488,2.82,0.0352,0.0,0.746891291445067,0.92,1,3,4.71,5509.0,1.12,20098.792388147336,0.5267729114707249
Kepler-1074 b,1.25,2.1,0.0536,0.0,0.1673128805561604,0.6,1,1,5.91,4002.0,0.57,8440.955864415779,0.5579366385853476
Kepler-1075 b,1.42,2.6,0.0208,0.0,0.13141898072713853,0.56,1,1,4.99,3959.0,0.54,13046.986900834894,0.5199143772344129
Kepler-1076 b,0.8,0.437,0.0611,0.0,0.43822264873188616,0.79,1,1,4.69,4868.0,0.74,10957.345013396234,0.5643573606067022
Kepler-1077 b,2.77,8.1,0.2101,0.0,0.006,1.02,1,1,2.09,5816.0,1.02,8288.405107972194,0.3489431439871478
Kepler-1078 b,1.9,4.27,0.0388,0.0,0.5,0.94,1,1,3.42,5612.0,0.92,17674.829187855248,0.4318802144921944
Kepler-1079 b,1.63,3.29,0.1092,0.0,0.263,1.08,1,1,4.17,5758.0,1.36,13142.842628435843,0.47583689323796846
Kepler-108 b,8.65,56.0,0.292,0.22,0.707,1.25,2,2,0.475,5854.0,2.19,10369.142955278046,0.17885602191218922
Kepler-108 c,8.18,50.9,0.721,0.04,0.707,1.25,2,2,0.511,5854.0,2.19,6598.825672339552,0.2325197656383334
Kepler-1080 b,3.28,10.8,0.3781,0.0,0.861,1.1,1,1,1.68,5956.0,1.16,6747.452830071464,0.32267458449336683
Kepler-1081 b,1.01,1.01,0.04662,0.0,0.6392774017356785,0.88,1,1,5.39,5345.0,0.84,14674.412741922391,0.5908866447357711
Kepler-1082 b,1.12,1.46,0.02571,0.0,0.314,1.03,1,1,5.71,5923.0,1.14,25509.5402866931,0.5663597005139475
Kepler-1083 b,3.36,11.2,0.1899,0.0,0.47829690000000014,0.81,1,1,1.62,5049.0,0.77,6575.787390657796,0.34123781267044395
Kepler-1084 b,1.11,1.41,0.0324,0.0,0.253,1.12,1,1,5.67,6113.0,1.28,24851.14410286671,0.5608674107980579
Kepler-1085 b,7.22,41.2,0.73361,0.0,0.079,1.11,1,2,0.602,6000.0,1.14,4837.606809181971,0.2909034307544075
Kepler-1085 c,3.268,10.7,0.29798,0.0,0.079,1.05,1,2,1.68,5816.0,1.08,7161.470872149839,0.47868298883692884
Kepler-1086 b,2.44,6.53,0.1198,0.0,0.28697438910118783,0.7,2,2,2.47,4350.0,0.66,6603.775913225999,0.35690182039430063
Kepler-1086 c,2.94,8.96,0.503,0.0,0.28697438910118783,0.7,2,2,1.94,4350.0,0.66,3222.8251520391846,0.3399314294083331
Kepler-1087 b,0.61,0.165,0.01554,0.0,0.866860702828407,0.96,1,1,3.99,5589.0,0.94,28114.60856997898,0.4607094326998192
Kepler-1088 b,1.42,2.6,0.16163,0.0,0.09,1.08,1,1,4.99,5975.0,1.08,9989.604930691903,0.5239735709673097
Kepler-1089 b,1.83,4.01,0.0497,0.0,0.10139387074808813,0.52,1,1,3.6,3753.0,0.49,7621.806559430148,0.4330926010258274
Kepler-109 b,2.49,4.9,0.0701,0.11,0.347,1.09,1,2,1.7,5950.0,1.39,17136.60826390388,0.31740480752437017
Kepler-109 c,2.65,8.2,0.1546,0.098,0.347,1.09,1,2,2.4,5950.0,1.39,11539.291202640656,0.31532133702919574
Kepler-1090 b,2.25,5.69,0.63323,0.0,0.5898540685771015,0.86,1,2,2.74,5321.0,0.82,3916.3270864788487,0.4022645926784876
Kepler-1090 c,3.293,10.9,0.22622,0.0,0.6142107088596144,0.87,1,2,1.68,5330.0,1.01,7284.200796525515,0.34780973938263937
Kepler-1091 b,1.46,2.73,0.0252,0.0,0.08,1.01,1,1,4.82,5851.0,1.03,24194.01537183066,0.5142893983430812
Kepler-1092 b,2.07,4.94,0.2996,0.0,0.096,0.99,1,1,3.06,5862.0,1.0,6926.8282863224595,0.41375334567819627
Kepler-1093 b,1.95,4.46,0.17543,0.0,0.46,1.13,1,2,3.31,6166.0,1.2,10430.418257687119,0.41273221290477147
Kepler-1093 c,1.96,4.5,0.41037,0.0,0.46,1.13,1,2,3.28,6166.0,1.2,6819.709156030027,0.4113416428327742
Kepler-1094 b,3.18,10.2,0.3625,0.0,0.178,1.14,1,1,1.74,6112.0,1.21,7222.4000007692775,0.32501803863948286
Kepler-1095 b,1.21,1.92,0.0514,0.0,0.8052810653384567,0.94,1,1,5.96,5658.0,0.92,15482.276149062869,0.5679422741662633
Kepler-1096 b,1.24,2.07,0.034,0.0,0.23356285451792205,0.66,1,1,5.97,4306.0,0.63,11988.486370312496,0.5618282828512327
Kepler-1097 b,3.26,10.7,0.5791,0.0,0.499284959284455,0.82,1,1,1.7,5211.0,0.79,3936.56429000497,0.34714464231984316
Kepler-1098 b,1.3,2.24,0.0358,0.0,0.157,0.99,1,1,5.6,5794.0,0.99,19706.708247218652,0.5510911126512221
Kepler-1099 b,2.83,8.4,0.0337,0.0,1.0354396902316474,1.01,1,1,2.04,5837.0,1.0,20565.262392288252,0.34383052619582233
Kepler-11 b,1.8,1.9,0.091,0.045,0.12,0.96,1,6,1.72,5663.0,1.06,12500.814487201777,0.4064497748594749
Kepler-11 c,2.87,2.9,0.107,0.026,0.12,0.96,1,6,0.66,5663.0,1.06,11528.349055738974,0.3583113518290681
Kepler-11 d,3.12,7.3,0.155,0.004,0.12,0.96,1,6,1.28,5663.0,1.06,9578.404143041538,0.33859887848850295
Kepler-11 e,4.19,8.0,0.195,0.012,0.12,0.96,1,6,0.58,5663.0,1.06,8539.682038983407,0.32372434214513457
Kepler-11 f,2.49,2.0,0.25,0.013,0.12,0.96,1,6,0.69,5663.0,1.06,7542.0429642776435,0.3797650547369325
Kepler-11 g,3.33,25.0,0.466,0.15,0.12,0.96,1,6,4.0,5663.0,1.06,5524.1574462432845,0.5687017447162387
Kepler-110 b,1.83,4.01,0.107,0.0,0.276,0.99,1,2,3.6,5960.0,1.15,12637.547566549,0.448920588779099
Kepler-110 c,2.21,5.52,0.198,0.0,0.276,0.99,1,2,2.81,5960.0,1.15,9290.136539089784,0.39477067088650275
Kepler-1100 b,1.75,3.71,0.06745,0.0,0.088,1.21,1,1,3.8,6247.0,1.34,18009.117859467788,0.43290116714038507
Kepler-1101 b,2.47,6.66,0.3483,0.0,0.8052810653384567,0.94,1,1,2.43,5614.0,0.91,5869.159058912129,0.3718549388669913
Kepler-1102 b,2.66,7.56,0.2731,0.0,0.139,0.96,1,1,2.21,5724.0,0.94,6868.504924981534,0.3611106966404444
Kepler-1103 b,2.27,5.77,0.15336,0.0,0.522,1.11,1,1,2.71,6092.0,1.15,10789.772234224134,0.3701280189459934
Kepler-1104 b,1.23,2.04,0.06321,0.0,0.514,1.3,1,1,6.02,6417.0,1.41,19602.353311606712,0.5241175025791088
Kepler-1105 b,2.01,4.7,0.0471,0.0,0.30158116914673233,0.71,1,1,3.18,4299.0,0.68,10565.03548530996,0.4188447023933614
Kepler-1106 b,1.65,3.36,0.0239,0.0,0.159,1.11,1,1,4.11,6104.0,1.17,27622.820260974237,0.4573438550381983
Kepler-1107 b,1.34,2.36,0.01285,0.0,0.5898540685771015,0.86,1,1,5.39,5268.0,0.82,27218.277704950196,0.5215185632546255
Kepler-1108 b,1.46,2.73,0.0511,0.0,0.6392774017356785,0.88,1,1,4.82,5406.0,0.84,14176.360429959273,0.5310343762416372
Kepler-1109 b,2.19,5.43,0.2466,0.0,1.1862126380443982,1.05,1,1,2.84,5893.0,1.06,7902.278833230839,0.38477697476201234
Kepler-111 b,1.58,3.12,0.046,0.0,0.195,1.17,1,2,4.35,5952.0,1.16,19331.809795107387,0.4810876511408444
Kepler-111 c,7.084,222.47988,0.751,0.176,0.158,1.12,1,2,3.42,5914.0,1.15,4733.362699133789,0.2848282296495409
Kepler-1110 b,2.66,7.56,0.0754,0.0,0.332376270499219,0.73,1,1,2.21,4781.0,0.7,9421.967523516887,0.36462209605612256
Kepler-1111 b,2.0,4.66,0.0872,0.0,1.3959645769144722,1.1,1,1,3.2,6077.0,1.15,14273.794049945596,0.4024155181892908
Kepler-1112 b,3.02,9.38,0.1239,0.0,0.542,1.34,1,1,1.87,6496.0,1.54,14812.56385809399,0.3014558189840569
Kepler-1113 b,2.81,8.3,0.2415,0.0,0.08,1.12,1,1,2.06,5931.0,1.17,8443.486231630339,0.34044128571725224
Kepler-1114 b,1.35,2.39,0.11056,0.0,0.6142107088596144,0.87,1,1,5.34,5374.0,0.83,9523.513580690282,0.5542038766615897
Kepler-1115 b,1.7,3.53,0.2134,0.0,1.254,1.6,1,1,3.95,8480.0,1.73,15616.410209294469,0.40810599104039885
Kepler-1116 b,2.54,6.99,0.233,0.0,0.8356657801380584,0.95,1,1,2.34,5641.0,0.93,7289.187565759552,0.36669740783630517
Kepler-1117 b,1.11,1.41,0.05485,0.0,0.8356657801380584,0.95,1,1,5.67,5612.0,0.93,14946.184288013777,0.5819901336825648
Kepler-1118 b,2.74,7.95,0.2079,0.0,0.866860702828407,0.96,1,1,2.12,5688.0,0.97,7946.533569251816,0.3556663932109158
Kepler-1119 b,1.92,4.35,0.0812,0.0,0.486,1.11,1,1,3.38,6083.0,1.17,14934.553565439703,0.4137721388179088
Kepler-112 b,2.36,6.17,0.076,0.0,0.4191129782637613,0.78,1,2,2.58,5544.0,0.84,11921.079402023242,0.3902970211690422
Kepler-112 c,2.4,6.35,0.172,0.0,0.4191129782637613,0.78,1,2,2.52,5544.0,0.84,7924.249723236973,0.38744301101498435
Kepler-1120 b,1.38,2.48,0.0369,0.0,0.4191129782637613,0.78,1,1,5.19,4904.0,0.74,14204.064981520874,0.5478889009819493
Kepler-1121 b,1.91,4.31,0.11818,0.0,0.475,1.29,1,1,3.4,6231.0,1.59,14782.3619798855,0.39343472502183496
Kepler-1122 b,2.04,4.82,0.2315,0.0,0.059,0.92,1,1,3.12,5544.0,0.89,7030.759452553223,0.4223605055104459
Kepler-1123 b,1.67,3.43,0.0497,0.0,0.7756937995160011,0.93,1,1,4.05,5500.0,0.9,15137.887104209118,0.4799626553849724
Kepler-1124 b,1.28,2.18,0.0305,0.0,0.025365192070039597,0.35,1,1,5.71,3658.0,0.34,7899.375381406996,0.5247022647412324
Kepler-1125 b,1.84,4.04,0.1348,0.0,0.647,0.95,1,1,3.56,5683.0,0.94,9706.354503178753,0.44406934320440855
Kepler-1126 b,1.73,3.64,0.41251,0.0,0.746891291445067,0.92,1,2,3.86,5798.0,0.93,5630.694397499725,0.4744025058735091
Kepler-1126 c,1.45,2.7,0.6193,0.0,0.43822264873188616,0.79,1,2,4.87,5678.0,0.92,4476.084473596755,0.5493842405985007
Kepler-1127 b,1.96,4.5,0.0556,0.0,0.8988786596538656,0.97,1,1,3.28,5664.0,0.95,15142.83407635151,0.42114329603240735
Kepler-1128 b,3.65,12.9,0.302,0.0,0.8052810653384567,0.94,1,1,1.46,5543.0,0.91,6223.312586986996,0.32973832123764163
Kepler-1129 b,2.96,9.06,0.16481,0.0,1.0,1.0,1,2,1.92,5831.0,1.0,9289.894327014894,0.34940609677685097
