pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp
HD 141399 b,14.3,143.34133,0.415,0.04,0.201,1.07,1,4,0.269,5600.0,1.39,6628.738565112944
HD 141399 c,13.6,422.7139,0.689,0.048,0.201,1.07,1,4,0.923,5600.0,1.39,5144.525548670386
HD 141399 d,13.7,375.0394,2.09,0.074,0.201,1.07,1,4,0.801,5600.0,1.39,2953.8048296126162
HD 141399 e,14.1,209.7678,5.0,0.26,0.201,1.07,1,4,0.411,5600.0,1.39,1909.7210587054583
HD 141937 b,12.5,3079.7727,1.5,0.41,0.022,1.09,1,1,8.66,5870.0,1.03,3146.08604429538
HD 142 A d,10.9,82.63539,0.474,0.13,0.474,1.21,2,3,0.351,6273.0,1.41,6997.697831085587
HD 142 b,12.7,2256.58169,1.039,0.158,0.474,1.21,2,3,6.05,6245.0,1.47,4804.44082292705
HD 142 c,12.4,3464.64746,9.811,0.277,0.474,1.21,2,3,9.99,6245.0,1.47,1563.4859554581285
HD 142022 A b,12.9,1433.40612,2.93,0.53,0.004,0.9,2,1,3.67,5421.0,1.04,2088.9198601883836
HD 142245 b,13.1,975.7381,2.78,0.0,1.13,3.5,3,1,2.39,4922.0,4.63,4108.366876538533
HD 142415 b,13.5,530.7761,1.06,0.5,0.06,1.07,1,1,1.19,5940.0,1.04,3805.4821937237216
HD 143105 b,13.7,384.5743,0.0379,0.07,0.556,1.51,1,1,0.822,6380.0,1.65,27227.173449684688
HD 143361 b,12.9,1382.55357,1.988,0.197,0.8988786596538656,0.97,1,1,3.54,5507.0,0.92,2423.0384862553246
HD 144899 b,4.77,20.34102,0.242,0.821,0.537,1.16,1,1,1.03,6126.0,1.65,10345.9599707162
HD 145377 b,12.8,1913.3366,0.45,0.31,0.193,1.2,1,1,5.01,6014.0,1.05,5941.708323023881
HD 145457 b,13.2,888.01257,0.762,0.111,1.655,1.9,1,1,2.12,4757.0,9.9,11090.031385201659
HD 145675 c,12.9,1597.08775,11.924,0.393,0.7188609179509692,0.91,1,2,4.09,5314.94,1.0,995.5129059748637
HD 145934 b,13.4,658.54046,4.89,0.078,1.355,2.06,1,1,1.5,4823.75,6.93,3714.12479075843
HD 1461 b,2.42,6.44,0.0634,0.172,0.095,1.02,1,2,2.5,5765.0,1.15,15880.46134602101
HD 1461 c,2.23,5.59,0.1117,0.305,0.097,1.02,1,2,2.77,5765.0,1.15,11964.13093867747
HD 147018 b,13.4,674.0,0.2388,0.4686,0.7756937995160011,0.93,1,2,1.54,5441.0,0.94,6982.082942666558
HD 147018 c,12.7,2080.0,1.922,0.133,0.7756937995160011,0.93,1,2,5.58,5441.0,0.94,2461.0785384007904
HD 147379 b,4.94,21.6,0.3193,0.063,0.14859287222313186,0.58,2,1,0.985,4090.0,0.63,3715.811167603023
HD 147513 b,13.7,385.0,1.32,0.26,1.440888667766775,1.11,2,1,0.823,5883.0,0.98,3278.5697899697807
HD 14787 b,13.7,356.28743,1.7,0.155,1.115,1.43,1,1,0.761,4946.0,5.01,5491.715450079995
HD 147873 b,12.8,1633.6462,0.522,0.207,0.777,1.38,2,2,4.28,5972.0,2.29,8090.247369080256
HD 147873 c,13.3,731.009,1.36,0.23,0.777,1.38,2,2,1.71,5972.0,2.29,5012.190836974315
HD 148156 b,13.9,270.144,2.45,0.52,0.25,1.22,1,1,0.553,6308.0,1.21,2867.218827713168
HD 148164 b,13.7,390.9309,0.993,0.587,0.33,1.21,1,2,0.835,6032.0,1.34,4532.090984099579
HD 148164 c,12.8,1640.0028,6.15,0.125,0.33,1.21,1,2,4.3,6032.0,1.34,1821.1079334455908
HD 148427 b,13.6,413.179,1.04,0.16,0.78,1.64,1,1,0.903,5025.0,3.86,6261.4160327225845
HD 149026 b,8.295,120.7754,0.04364,0.0,0.48,1.42,1,1,0.75,6179.0,1.41,22716.68169473315
HD 149143 b,13.6,422.7139,0.053,0.0167,0.35,1.2,1,1,0.923,5856.0,1.44,19742.579315923904
HD 149806 b,12.3,4003.68444,12.404,0.357,0.7756937995160011,0.93,1,1,11.8,5352.05,0.89,927.2435024898716
HD 150010 b,13.3,762.78818,1.4,0.2,1.982,1.3,1,1,1.78,4153.0,16.2,9137.237904774647
HD 1502 b,13.2,874.0325,1.262,0.031,1.064,1.46,1,1,2.09,4947.0,4.67,6155.030160345677
HD 150706 b,13.3,772.32303,6.7,0.38,0.032,1.17,1,1,1.8,5961.0,0.96,1459.40842538156
HD 151450 b,6.94,38.45724,0.16,0.496,0.231,1.14,1,2,0.632,6091.98,1.17,10654.937844208818
HD 151450 c,12.8,1636.18064,14.131,0.138,0.231,1.14,1,2,4.29,6091.98,1.17,1133.7687012767017
HD 152079 b,13.2,845.74563,4.187,0.532,0.107,1.15,1,1,2.02,5907.0,1.13,1984.7884514918858
HD 152581 b,13.4,594.02427,1.66,0.04,1.173,1.3,1,1,1.36,5027.0,5.14,5721.315703265926
HD 152843 b,3.41,11.56,0.1053,0.14,0.45,1.15,1,2,1.58,6310.0,1.43,15039.822285759661
HD 152843 c,5.83,27.5,0.11,0.115,0.45,1.15,1,2,0.82,6310.0,1.43,
HD 15337 b,1.77,6.519,0.05245,0.058,0.5209227484918181,0.83,1,2,6.458,5131.0,0.86,13438.104257781451
HD 15337 c,2.526,6.792,0.1235,0.096,0.5209227484918181,0.83,1,2,2.303,5131.0,0.86,8757.442079797996
HD 153557 b,4.77,20.34102,0.068,0.065,0.43822264873188616,0.79,1,3,1.03,4837.0,0.75,10389.909743939263
HD 153557 c,4.36,17.48056,0.111,0.511,0.43822264873188616,0.79,1,3,1.16,4837.0,0.75,8132.138037147678
HD 153557 d,11.9,8725.66109,21.449,0.152,0.43822264873188616,0.79,1,3,28.5,4837.0,0.75,585.0092143960148
HD 153950 b,13.2,937.5985,1.28,0.34,0.346,1.25,1,1,2.24,6124.0,1.28,3960.9074439626465
HD 154088 b,2.46,6.6,0.134,0.344,0.7188609179509692,0.91,1,1,2.44,5374.0,0.95,9254.790193610705
HD 154345 b,13.7,378.2158,4.21,0.04,0.30158116914673233,0.71,1,1,0.808,5468.0,0.85,1589.119046692609
HD 154391 b,12.5,2892.2385,7.46,0.2,1.581,2.07,1,1,8.14,4909.0,8.56,3401.1047889927136
HD 154672 b,12.8,1706.7471,0.6,0.61,0.257,1.18,1,1,4.47,5743.0,1.32,5509.468049697449
HD 154857 b,13.3,778.6835,1.29,0.46,0.663,1.96,1,2,1.82,5589.0,2.3,4826.837572374267
HD 154857 c,13.2,819.97,5.36,0.06,0.665,1.72,1,2,1.96,5605.0,1.76,2077.3471005790734
HD 155193 b,14.0,238.37131,1.04,0.21,0.641,1.22,1,1,0.477,6239.0,1.76,5249.45433395571
HD 155358 b,13.8,314.6517,0.63,0.17,0.299,1.15,1,2,0.658,5905.0,1.38,5652.605576105922
HD 155358 c,13.9,261.0,1.02,0.16,0.299,0.92,1,2,0.534,5900.0,1.38,4438.650818607917
HD 155918 b,2.67,7.62788,0.03,0.194,0.016,1.03,1,2,2.2,5771.84,1.02,21767.73563059885
HD 155918 c,12.8,1878.04806,13.183,0.071,0.016,1.03,1,2,4.92,5771.84,1.02,1038.4049641116492
HD 156098 b,4.12,15.89142,0.167,0.109,1.066,1.29,1,2,1.25,6419.19,2.76,16878.58550231248
HD 156098 c,12.8,1661.60691,8.415,0.391,1.066,1.29,1,2,4.35,6419.19,2.76,2377.7556564738234
HD 156279 b,12.5,2997.75753,0.502,0.647,0.8052810653384567,0.94,1,2,8.43,5453.0,0.95,4851.823055875735
HD 156279 c,12.5,3098.82697,5.486,0.261,0.8052810653384567,0.94,1,2,8.72,5458.24,0.97,1484.465488721376
HD 156411 b,14.0,235.18,1.88,0.22,0.731,1.25,1,1,0.471,5900.0,2.16,4090.340617192005
HD 156668 b,1.87,4.15,0.05,0.0,0.23,0.77,1,2,3.49,4850.0,0.72,11903.714353673986
HD 156668 c,6.17,31.4968,1.57,0.089,0.43822264873188616,0.79,1,2,0.737,4903.69,0.77,2221.150855461833
HD 156846 b,12.4,3391.2461,1.12,0.85,0.697,1.38,2,1,9.77,6090.0,1.9,5130.32164419068
HD 158038 b,13.5,486.2799,1.5,0.29,1.076,1.3,1,1,1.09,4860.0,4.5,5444.480025134299
HD 158259 b,1.282,2.22,0.105,0.05,0.212,1.08,1,5,6.12,5801.89,1.21,
HD 158259 c,2.23,5.6,0.105,0.05,0.212,1.08,1,5,2.77,5801.89,1.21,
HD 158259 d,2.18,5.41,0.105,0.05,0.212,1.08,1,5,2.87,5801.89,1.21,
HD 158259 e,2.34,6.08,0.105,0.05,0.212,1.08,1,5,2.61,5801.89,1.21,
HD 158259 f,2.35,6.14,0.105,0.05,0.212,1.08,1,5,2.6,5801.89,1.21,
HD 158996 b,12.3,4449.62,2.1,0.13,3.015,1.8,1,1,13.1,4069.0,50.3,12880.168577980192
HD 15906 b,2.24,5.65,0.09,0.11,0.43822264873188616,0.79,1,2,2.76,4757.0,0.76,8940.837569500187
HD 15906 c,2.93,8.91,0.141,0.04,0.43822264873188616,0.79,1,2,1.95,4757.0,0.76,7143.152193691969
HD 159243 b,13.7,359.13,0.11,0.02,0.114,1.12,1,2,0.767,6123.0,1.12,12636.780455552669
HD 159243 c,13.4,603.9,0.8,0.075,0.114,1.12,1,2,1.38,6123.0,1.12,4685.843604811488
HD 159868 b,13.3,704.94694,2.32,0.024,0.556,1.19,1,2,1.65,5534.0,2.13,3429.6079423454885
HD 159868 c,14.0,244.09344,1.032,0.184,0.555,1.19,1,2,0.489,5534.0,2.13,5142.1959272368595
HD 1605 b,13.8,296.85322,1.492,0.095,0.81,1.33,1,2,0.621,4915.0,3.49,4861.959493178711
HD 1605 c,13.0,1150.5446,3.584,0.099,0.81,1.33,1,2,2.88,4915.0,3.49,3136.9799818528645
HD 160691 b,11.097378246157959,1366.66215,1.5,0.128,0.278,1.13,1,4,5.510000000000003,5773.0,1.33,3515.938425020902
HD 160691 c,11.182746047124212,1398.44499,4.17,0.0985,0.278,1.13,1,4,5.510000000000001,5773.0,1.33,2108.7197357483756
HD 160691 d,3.17,10.17,0.09286,0.0,0.278,1.13,1,4,1.75,5773.0,1.33,14130.988745023938
HD 160691 e,13.05460043419257,2224.79885,0.934,0.0666,0.278,1.13,1,4,5.5100000000000025,5773.0,1.33,4455.674450662504
HD 161178 b,14.1,181.16219,0.85,0.044,1.751,1.06,1,1,0.355,4786.0,10.95,11110.40277202163
HD 16141 b,10.9,82.6358,0.36,0.25,0.366,1.11,2,1,0.351,5757.0,1.48,7549.798295551147
HD 16175 b,12.8,1875.1876,2.12,0.6,0.508,1.63,1,1,4.91,5981.0,1.72,3484.412857131785
HD 162020 b,12.5,3127.4472,0.08,0.28,0.04801451168636415,0.42,1,1,8.8,4723.0,0.75,9353.261916896736
HD 163607 b,13.9,249.05159,0.362,0.7441,0.42,1.12,1,2,0.51,5522.0,1.76,7875.134196142625
HD 163607 c,13.3,699.54383,2.39,0.08,0.42,1.12,1,2,1.63,5522.0,1.76,3064.8787491853004
HD 16417 b,5.0,22.1,0.14,0.2,0.443,1.2,2,1,0.972,5841.0,1.64,12930.181604602194
HD 164509 b,14.3,140.79869,0.87,0.238,0.12,1.12,2,1,0.265,5859.0,1.11,4280.405104192399
HD 164595 b,4.16,16.14,0.23,0.088,0.017,0.99,2,1,1.23,5790.0,1.02,7886.31724866634
HD 164604 b,12.3,4544.94622,1.331,0.35,0.4006060816669288,0.77,1,1,13.4,4684.0,0.77,2304.266645513917
HD 164922 b,13.3,116.0,2.16,0.08,0.7756937995160011,0.93,1,4,0.271,5390.0,0.95,2311.9753768786786
HD 164922 c,3.66,13.0,0.341,0.12,0.7756937995160011,0.93,1,4,1.46,5390.0,0.95,5818.792769532278
HD 164922 d,1.83,4.0,0.103,0.12,0.7756937995160011,0.93,1,4,3.59,5390.0,0.95,10587.452323118448
HD 164922 e,3.23,10.52012,0.2292,0.086,0.746891291445067,0.92,1,4,1.72,5393.43,1.0,7286.471189077815
HD 165131 b,12.1,5943.39121,3.54,0.6708,0.083,1.06,1,1,18.4,5870.0,1.06,2077.53770762583
HD 165155 b,13.2,918.5287,1.13,0.2,1.0717675436629344,1.02,1,1,2.19,5426.0,0.95,3217.821006450634
HD 1666 b,12.7,2040.0,0.94,0.63,0.73,1.5,1,1,5.47,6317.0,1.93,5854.43672878571
HD 166724 b,13.0,1207.74795,5.42,0.734,0.47829690000000014,0.81,1,1,3.02,5127.0,0.8,1273.9963385344263
HD 167042 b,13.6,444.00628,1.22,0.01,1.057,1.39,1,1,0.97,4919.0,4.63,6197.933538331392
HD 167677 b,13.2,905.81096,2.877,0.182,0.866860702828407,0.96,1,1,2.16,5474.0,0.95,2034.4928923152454
HD 167768 b,13.9,270.15415,0.1512,0.149,1.669,1.08,1,1,0.553,4851.0,9.7,25130.478525390645
HD 168009 b,3.05,9.53485,0.1192,0.12,0.15,0.99,1,1,1.85,5778.33,1.21,11907.385398286364
HD 168443 b,12.6,2424.39509,0.292,0.53,0.382,0.98,1,2,6.66,5491.0,1.71,8594.440026586888
HD 168443 c,12.2,5500.33841,2.842,0.21,0.382,0.98,1,2,16.6,5491.0,1.71,2754.8437679585863
HD 168746 b,11.1,85.8141,0.07,0.11,0.041,1.07,1,1,0.345,5570.0,1.09,14216.049804551034
HD 168863 b,12.7,2154.8766,10.961,0.187,0.457946721791957,0.8,1,1,5.78,4905.0,0.78,846.2929759868643
HD 1690 b,12.5,2793.7257,1.36,0.64,1.52,1.86,1,1,7.86,4374.0,21.66,11290.107128391795
HD 16905 b,12.4,3591.461,8.8,0.68,0.5661952739834993,0.85,1,1,10.4,4866.12,0.77,930.992866333712
HD 169142 b,13.1,953.48522,37.2,0.05,0.768,1.85,1,1,2.33,7246.0,1.54,953.5571618673315
HD 169830 b,13.2,804.4237,0.765,0.294,0.662,1.17,1,2,1.92,6300.0,1.94,6488.886966557711
HD 169830 c,12.6,2437.42605,3.075,0.246,0.662,1.17,1,2,6.7,6179.26,1.94,3174.4923596705053
HD 170469 b,14.1,209.7678,2.24,0.11,0.204,1.1,2,1,0.411,5842.0,1.24,2811.3045676918955
HD 17092 b,12.5,3219.6179,1.31,0.17,1.756,6.73,1,1,9.06,4326.0,13.58,9008.661412608144
HD 171028 b,13.2,832.7146,1.32,0.59,0.733,1.53,1,1,1.99,5671.0,2.47,5017.422470689145
HD 171238 b,12.5,2796.88998,2.57,0.234,0.866860702828407,0.96,1,1,7.87,5440.0,1.01,2205.7309500256406
HD 17156 b,12.33,1115.5833,0.16278,0.68,0.39,1.41,1,1,3.78,6040.0,1.55,12054.849085076321
HD 173416 b,13.4,585.1221,1.158,0.208,1.892,2.0,1,1,1.34,4683.0,13.5,10341.803329188586
HD 174205 b,13.0,1334.87931,1.7,0.4,2.378,1.8,1,1,3.34,4308.0,26.6,11021.775593605986
HD 175167 b,12.3,4703.86042,2.4,0.51,0.456,1.09,1,1,13.9,5635.0,1.75,3112.195253632753
HD 175541 b,14.1,190.06234,0.975,0.11,0.934,1.39,1,1,0.373,5013.0,4.19,6721.433720043508
HD 175607 b,2.94,8.98,0.0965,0.11,0.30158116914673233,0.71,1,1,1.94,5392.0,0.7,
HD 17674 b,13.9,276.5121,1.42,0.13,0.205,0.98,1,1,0.566,5904.0,1.18,3480.9893329667075
HD 176986 b,2.26,5.74,0.06296,0.066,0.43822264873188616,0.79,1,2,2.73,4931.0,0.78,11225.597243542592
HD 176986 c,2.98,9.18,0.11878,0.111,0.43822264873188616,0.79,1,2,1.91,4931.0,0.78,8172.78653212971
HD 177565 b,4.0,15.1,0.246,0.0593,1.0,1.0,1,1,1.3,5627.0,0.97,7226.944855802285
HD 177830 b,13.5,537.1327,1.14,0.1,0.685,1.7,2,2,1.2,4901.0,3.26,5360.441848725345
HD 177830 c,7.87,47.6725,0.5137,0.3,0.685,1.47,2,2,0.537,4949.0,2.62,7228.910182603318
HD 178911 B b,12.6,2552.1749,0.34,0.11,2.1231266321032853,1.24,3,1,7.01,5588.0,1.08,6441.5195444079745
HD 179079 b,5.48,25.74423,0.1214,0.049,0.38,1.14,1,1,0.86,5646.0,1.63,13380.885202638668
HD 179949 b,13.9,291.12,0.0443,0.022,0.301,1.21,1,1,0.596,6168.0,1.27,21360.12916655659
HD 180053 b,13.3,697.31902,0.843,0.081,1.099,1.75,1,1,1.63,5131.0,4.06,7283.007485153382
HD 18015 b,13.1,1048.83374,3.87,0.148,0.974,1.49,1,1,2.56,5603.0,3.13,3259.093506021681
HD 180314 b,12.0,7216.92964,1.448,0.247,1.643,2.6,1,1,22.9,4917.0,9.2,8016.214934834372
HD 180617 b,3.53,12.214,0.343,0.101,0.07662038516426291,0.48,2,1,1.53,3534.0,0.48,2703.9559733440565
HD 180902 b,13.5,535.54355,1.4,0.107,0.973,1.41,2,1,1.2,4961.0,4.16,5531.09842428894
HD 181234 b,12.5,2980.91263,7.427,0.726,0.8052810653384567,0.94,1,1,8.39,5386.0,1.06,1316.049067895826
HD 181342 b,13.2,807.2882,1.592,0.022,1.079,1.69,1,1,1.93,4945.0,4.71,5501.292414635547
HD 18143 b,3.28,10.80617,0.088,0.224,0.5661952739834993,0.85,1,2,1.68,5078.0,0.87,10326.912540116913
HD 18143 c,12.5,3177.64841,17.53,0.194,0.5661952739834993,0.85,1,2,8.94,5078.0,0.87,731.6794826708856
HD 181433 b,2.4,6.3566,0.08,0.4,0.1984686534233303,0.63,1,3,2.53,4918.0,0.79,9995.777690934608
HD 181433 c,14.1,203.0,1.76,0.28,0.4191129782637613,0.78,1,3,0.398,4962.0,0.81,2177.220664434914
HD 181433 d,14.2,171.0,3.0,0.48,0.4191129782637613,0.78,1,3,0.328,4962.0,0.81,1667.6240669578021
HD 181720 b,14.0,127.132,1.85,0.26,0.288,1.03,1,1,0.255,5736.0,1.5,3340.630332678539
HD 183263 b,13.1,1103.1824,1.46,0.383,0.25,1.06,1,2,2.7,5948.0,1.23,3531.0722175239466
HD 183263 c,12.5,2958.98247,5.585,0.051,0.25,1.06,1,2,8.32,5875.99,1.29,1826.5174538992183
HD 183579 b,3.49,20.4,0.1322,0.061,1.0,1.0,1,1,2.65,5784.0,0.96,10081.094490080757
HD 184010 b,12.1,98.52681,0.94,0.0,1.117,1.35,1,3,0.306,4971.0,4.86,7310.675094330802
HD 184010 c,11.8,95.34852,1.334,0.0,1.117,1.35,1,3,0.319,4971.0,4.86,6136.821554899903
HD 184010 d,14.3,143.02278,1.92,0.0,1.117,1.35,1,3,0.269,4971.0,4.86,5115.29630713407
HD 18438 b,12.1,6674.39655,2.1,0.1,2.968,1.84,1,1,20.7,3860.0,88.48,16205.398925678417
HD 185269 b,13.8,321.0083,0.077,0.229,0.694,1.3,3,1,0.671,5923.0,2.0,19524.093556293217
HD 185283 b,13.6,413.17693,4.6,0.07,0.457946721791957,0.8,1,1,0.903,4848.0,0.74,1257.6478924201822
HD 18599 b,2.6,24.1,0.048,0.34,0.5898540685771015,0.86,2,1,7.5,5145.0,0.77,13328.142737870501
HD 187085 b,13.9,265.70588,2.1,0.251,2.13,1.19,1,1,0.544,6117.0,1.27,3076.7358063574075
HD 187123 b,14.2,166.218,0.0426,0.0103,0.127,1.04,1,2,0.319,5790.0,1.15,19457.283040547074
HD 187123 c,13.4,632.46,4.89,0.252,0.127,1.04,1,2,1.44,5790.0,1.15,1816.0699256731903
HD 18742 b,13.1,1080.622,1.82,0.04,1.143,1.36,1,1,2.64,4940.0,5.13,5364.255432052091
HD 188015 b,13.6,476.72,1.203,0.137,0.059,1.09,2,1,1.04,5746.0,1.13,3601.899092840565
HD 188641 b,11.9,9333.03117,12.027,0.034,0.615,1.07,1,1,30.4,5897.32,1.94,1531.921162576793
HD 189567 b,2.85,8.5,0.111,0.189,0.324,0.83,1,2,2.02,5726.0,1.04,11336.161804807456
HD 189567 c,2.54,7.0,0.197,0.16,0.324,0.83,1,2,2.35,5726.0,1.04,8509.311309523593
HD 189733 b,12.666,359.1479,0.03126,0.0,0.5209227484918181,0.83,2,1,0.943,5052.0,0.75,16005.12236782004
HD 190007 b,4.06,15.5,0.092,0.136,0.4006060816669288,0.77,1,1,1.27,4610.0,0.79,8737.356770743958
HD 190228 b,12.9,1598.67689,2.406,0.559,0.697,1.42,1,1,4.09,5360.0,2.59,3596.883506509456
HD 190360 b,13.4,572.09113,3.9,0.34,0.066,1.0,2,2,1.31,5552.0,1.14,1941.462881565095
HD 190360 c,4.59,19.069,0.1304,0.237,0.066,0.98,2,2,1.08,5549.0,1.17,10750.492787586429
HD 190647 b,13.4,630.89255,2.231,0.224,0.297,1.07,1,1,1.44,5656.0,1.38,2877.1246044737522
HD 190984 b,13.0,1137.8257,5.5,0.57,0.43,0.91,1,1,2.85,5988.0,1.53,2042.70510614519
HD 191806 b,12.5,2966.61035,2.749,0.213,0.348,1.07,1,1,8.35,6010.0,1.4,2774.0266696662156
HD 191939 b,3.41,10.0,0.0804,0.031,0.47829690000000014,0.81,1,6,1.4,5348.0,0.94,11827.332689267141
HD 191939 c,3.195,8.0,0.1752,0.034,0.47829690000000014,0.81,1,6,1.35,5348.0,0.94,8012.126298576871
HD 191939 d,2.995,2.8,0.2132,0.031,0.47829690000000014,0.81,1,6,0.57,5348.0,0.94,7263.086850290781
HD 191939 e,13.0,112.2,0.407,0.031,0.47829690000000014,0.81,1,6,0.281,5348.0,0.94,5256.753747114514
HD 191939 f,13.2,915.34581,3.71,0.0,0.47829690000000014,0.81,1,6,2.19,5348.0,0.94,1741.1167066587936
HD 191939 g,3.74,13.5,0.812,0.03,0.47829690000000014,0.81,1,6,1.42,5348.0,0.94,3721.661098693576
HD 192263 b,14.2,177.9848,0.15,0.05,0.23356285451792205,0.66,1,1,0.342,4976.0,0.74,7148.420871805105
HD 192310 b,4.27,16.9,0.32,0.13,0.457946721791957,0.8,1,2,1.19,5166.0,0.86,5477.572701414076
HD 192310 c,5.25,24.0,1.18,0.32,0.457946721791957,0.8,1,2,0.911,5166.0,0.81,2768.3144509150634
HD 192699 b,13.4,666.17168,1.063,0.082,1.009,1.38,1,1,1.52,5041.0,4.41,6640.929534892678
HD 194490 b,12.4,3561.90296,11.116,0.251,0.147,1.06,1,1,10.3,5861.32,1.15,1219.3534060145523
HD 195019 b,13.0,1264.9634,0.14,0.01,0.333,1.21,2,1,3.16,5751.0,1.48,12093.993187335234
HD 196050 b,12.9,1493.79351,2.65,0.2,0.26,1.27,3,1,3.82,5879.0,1.42,2783.455019898484
HD 196067 b,12.3,3972.85509,5.02,0.66,0.572,1.29,2,1,11.7,6017.0,1.73,2284.602862740098
HD 19615 b,12.6,2701.54146,1.1,0.2,2.515,1.1,1,1,7.42,4263.0,32.3,14941.003359657734
HD 196885 A b,13.2,819.97,2.37,0.48,0.38,1.28,2,1,1.96,6254.0,1.31,3007.3146081882546
HD 197037 b,13.9,251.0,2.07,0.22,0.239,1.11,2,1,0.514,6150.0,1.1,2899.6514549392487
HD 199509 b,7.43,43.22466,0.426,0.373,1.147140697227607,1.04,1,1,0.579,5796.02,0.92,5509.072676528053
HD 19994 b,13.6,435.41,1.305,0.063,0.58,1.36,3,1,0.951,6188.0,1.8,4700.4648990224005
HD 20003 b,3.43,11.66,0.0974,0.36,0.6392774017356785,0.88,1,2,1.59,5494.0,0.92,10921.004913251252
HD 20003 c,3.89,14.44,0.1964,0.1,0.6392774017356785,0.88,1,2,1.35,5494.0,0.92,7690.796840264248
HD 200964 b,13.5,508.21017,1.565,0.087,1.064,1.39,1,2,1.14,4982.0,4.92,5713.320874451512
HD 200964 c,13.7,385.84562,1.96,0.243,1.064,1.39,1,2,0.825,4982.0,4.92,5105.258664597805
HD 202206 c,12.2,5689.157,2.41,0.22,0.035,1.07,2,1,17.2,5766.0,1.04,2449.8658201641474
HD 202696 b,8.592478912037716,634.38868,1.566,0.011,1.369,1.91,1,2,5.510000000000003,5040.0,6.43,6605.408123569023
HD 202696 c,8.398729588674593,592.43512,2.342,0.028,1.369,1.91,1,2,5.510000000000001,5040.0,6.43,5401.347137448308
HD 202772 A b,17.318,323.23311,0.05208,0.038,0.971,1.72,2,1,0.343,6272.0,2.59,28607.50326040706
HD 203030 b,14.46,3496.11248,487.1,0.05,0.8052810653384567,0.94,1,1,6.35,5603.0,0.86,152.27208537849287
HD 20329 b,1.72,7.42,0.018,0.0,0.049,0.9,1,1,8.06,5596.0,1.13,28677.427281706714
HD 203387 b,13.1,1106.04286,1.771,0.732,1.86,2.82,1,2,2.7,5174.32,10.59,8183.733820086525
HD 203387 c,12.6,2378.94563,5.067,0.202,1.86,2.82,1,2,6.53,5174.32,10.59,4838.216784309388
HD 2039 b,12.7,1999.1507,2.2,0.71,0.194,1.23,1,1,5.36,5945.0,1.19,2827.961622104035
HD 204313 b,12.9,1466.7781,3.185,0.1,0.1,1.03,1,3,3.75,5767.0,1.1,2192.0531888084083
HD 204313 c,4.31,17.16273,0.211,0.059,0.1,1.03,1,3,1.18,5776.0,1.13,8645.392019056475
HD 204313 e,12.2,4868.17771,7.457,0.253,0.1,1.03,1,3,14.7,5767.0,1.13,1451.999991356696
HD 204941 b,10.1,73.1009,2.55,0.37,0.14859287222313186,0.58,2,1,0.39,5026.0,0.78,1797.873816424059
HD 205158 b,13.9,124.58874,0.177,0.145,0.653,1.16,1,1,0.255,6133.55,1.88,12928.963624281825
HD 205739 b,13.6,435.41,0.896,0.27,0.36,1.22,1,1,0.951,6176.0,1.33,4866.745266557467
HD 206255 b,6.47,34.2,0.461,0.23,0.652,1.42,1,1,0.694,5635.0,2.22,7997.964222924909
HD 206610 b,13.4,647.10188,1.74,0.1,1.276,1.55,1,1,1.48,4842.0,6.12,5873.343271375232
HD 206893 b,14.011,8899.1954,9.6,0.14,0.456,1.32,1,2,17.8,6500.0,1.31,1553.0051650381408
HD 206893 c,16.365,4036.42077,3.53,0.41,0.456,1.32,1,2,5.06,6500.0,1.31,2561.0683195647107
HD 207496 b,2.25,6.1,0.0629,0.231,0.457946721791957,0.8,1,1,3.17,4819.0,0.77,10905.271399499443
HD 20781 b,1.21,1.93,0.0529,0.1,0.28697438910118783,0.7,2,5,5.99,5256.0,0.83,13465.611454379608
HD 20781 c,2.17,5.33,0.1004,0.09,0.28697438910118783,0.7,2,5,2.87,5256.0,0.83,9774.33137193819
HD 20781 d,3.25,10.61,0.1647,0.11,0.28697438910118783,0.7,2,5,1.7,5256.0,0.83,7631.450917006661
HD 20781 e,3.83,14.03,0.3374,0.06,0.28697438910118783,0.7,2,5,1.37,5256.0,0.83,5331.892390345065
HD 20782 b,13.6,472.83,1.3649,0.95,0.107,1.04,2,5,1.03,5782.13,1.13,3402.79799898055
HD 207832 b,14.2,177.9848,0.586,0.197,1.1862126380443982,1.05,3,2,0.342,5726.0,0.89,4564.119966252866
HD 207832 c,14.0,232.0159,2.112,0.27,0.8052810653384567,0.94,3,2,0.465,5710.0,0.9,2410.84849138057
HD 207897 b,2.343,14.8,0.117,0.0,0.499284959284455,0.82,1,1,6.29,5106.0,0.78,8526.969176977273
HD 20794 b,1.45,2.7,0.1257,0.064,0.43822264873188616,0.79,1,4,4.87,5368.0,0.93,9443.779857797814
HD 20794 d,2.04,4.8,0.3625,0.077,0.43822264873188616,0.79,1,4,3.11,5368.0,0.93,5561.08442288019
HD 20794 e,2.03,4.77,0.509,0.29,0.47829690000000014,0.81,1,4,3.13,5401.0,0.92,4696.439282349502
HD 20794 f,2.28,5.82,1.3541,0.45,0.43822264873188616,0.79,1,4,2.7,5368.0,0.93,2877.3197356528435
HD 208487 b,14.2,165.265,0.524,0.24,0.244,1.13,1,1,0.317,6067.0,1.2,5938.250126187601
